Sl. No.,State/UT,2018,2019,2020
1,Andhra Pradesh,42,27,18
2,Arunachal Pradesh,0,0,0
3,Assam,2,98,0
4,Bihar,0,9,6
5,Chhattisgarh,77,115,67
6,Goa,0,0,0
7,Gujarat,1,3,10
8,Haryana,162,0,10
9,Himachal Pradesh,43,56,43
10,Jharkhand,56,115,139
11,Karnataka,218,268,99
12,Kerala,11,7,3
13,Madhya Pradesh,410,190,214
14,Maharashtra,0,0,0
15,Manipur,0,1,0
16,Meghalaya,4,3,15
17,Mizoram,2,0,1
18,Nagaland,0,0,0
19,Odisha,6,0,18
20,Punjab,159,191,133
21,Rajasthan,64,88,31
22,Sikkim,2,3,8
23,Tamil Nadu,0,0,20
24,Telangana,0,0,0
25,Tripura,3,2,3
26,Uttar Pradesh,78,41,50
27,Uttarakhand,0,47,5
28,West Bengal,12,0,0
Total State (S),Total State (S),1352,1264,893
29,Andaman and Nicobar Islands,0,0,20
30,Chandigarh,0,5,4
31,Dadra and Nagar Haveli and Daman and Diu,5,3,2
32,Delhi,8,22,26
33,Jammu & Kashmir,0,2,2
34,Ladakh,NA,NA,0
35,Lakshadweep,0,0,0
36,Puducherry,0,0,0
Total UT(S),Total UT(S),13,32,54
Total (All India),Total (All India),1365,1296,947
